"cd_setor","cd_sit","nm_sit","cd_uf","nm_uf","sigla_uf","cd_mun","nm_mun","cd_dist","nm_dist","cd_subdist","geometry_type","geometry_coordinates"
"355030880000275","1","Área Urbana de Alta Densidade de Edificações","35","São Paulo","SP","3550308","São Paulo","355030880","Tatuapé","35503088000","Polygon","[[[-46.579829612, -23.536585289], [-46.5797455209999, -23.5365866669999], [-46.579753055, -23.5367175599999], [-46.579138368, -23.5367454299999], [-46.579166, -23.5371299989999], [-46.579262077, -23.538174999], [-46.5793496059999, -23.53922676], [-46.579410545, -23.539237193], [-46.579465994, -23.5392640649999], [-46.5799431889999, -23.539724721], [-46.580259096, -23.5398892159999], [-46.5805953089999, -23.54005152], [-46.5806929739999, -23.5400892169999], [-46.580755352, -23.5401046289999], [-46.5808121819999, -23.5401099219999], [-46.580867328, -23.5401155719999], [-46.580962938, -23.5401221239999], [-46.581022, -23.5401299989999], [-46.5811209999999, -23.539756999], [-46.581228, -23.5394489989999], [-46.581292, -23.5393179989999], [-46.581344, -23.5392009989999], [-46.58147, -23.539011999], [-46.5817929999999, -23.5385949989999], [-46.581964, -23.538355999], [-46.582077, -23.538130999], [-46.5821146329999, -23.5380155189999], [-46.5820500789999, -23.5380015179999], [-46.581964301, -23.5379850419999], [-46.5798875639999, -23.537700107], [-46.58033016, -23.5365596789999], [-46.579829612, -23.536585289]]]"
"355030880000276","1","Área Urbana de Alta Densidade de Edificações","35","São Paulo","SP","3550308","São Paulo","355030880","Tatuapé","35503088000","Polygon","[[[-46.578032, -23.537191999], [-46.5780764899999, -23.537737502], [-46.57745849, -23.537763898], [-46.57745463, -23.53760024], [-46.577541434, -23.5375910889999], [-46.577525298, -23.537221712], [-46.576991, -23.537249], [-46.577016, -23.537602], [-46.577066, -23.538289], [-46.577076, -23.538428], [-46.5771329999999, -23.5392249999999], [-46.5772249999999, -23.540267999], [-46.578276, -23.5404879989999], [-46.578255, -23.540212], [-46.578225409, -23.539776934], [-46.5781909999999, -23.539277999], [-46.578160457, -23.538855955], [-46.578132911, -23.538506298], [-46.578111, -23.538234], [-46.578852, -23.5381949989999], [-46.579262077, -23.538174999], [-46.579166, -23.5371299989999], [-46.578032, -23.537191999]]]"
"355030880000277","1","Área Urbana de Alta Densidade de Edificações","35","São Paulo","SP","3550308","São Paulo","355030880","Tatuapé","35503088000","Polygon","[[[-46.57555364, -23.5334672889999], [-46.576002248, -23.5335320789999], [-46.576005477, -23.5338678969999], [-46.576228279, -23.5339034159999], [-46.5763251499999, -23.5334804149999], [-46.575556403, -23.5333576949999], [-46.57555364, -23.5334672889999]]]"
"355030880000282","1","Área Urbana de Alta Densidade de Edificações","35","São Paulo","SP","3550308","São Paulo","355030880","Tatuapé","35503088000","Polygon","[[[-46.5602269999999, -23.530361999], [-46.560184, -23.530814999], [-46.560108, -23.5318199989999], [-46.560932, -23.532103999], [-46.561373803, -23.5322509009999], [-46.561642961, -23.531528464], [-46.56188, -23.530888], [-46.561956, -23.5308929999999], [-46.562061, -23.530902], [-46.562111, -23.530915], [-46.5626389999999, -23.531125], [-46.56285, -23.5305829989999], [-46.562217, -23.5297209989999], [-46.562084, -23.529549999], [-46.562013, -23.5294809989999], [-46.56188, -23.529381999], [-46.561804, -23.529333999], [-46.561681, -23.5292979989999], [-46.561586, -23.5292769989999], [-46.561502, -23.529267999], [-46.5610369999999, -23.5292489989999], [-46.560325, -23.529212999], [-46.5602269999999, -23.530361999]]]"
"355030880000283","1","Área Urbana de Alta Densidade de Edificações","35","São Paulo","SP","3550308","São Paulo","355030880","Tatuapé","35503088000","Polygon","[[[-46.561373803, -23.5322509009999], [-46.561642703, -23.532344801], [-46.561942803, -23.5324481009999], [-46.562091, -23.532499999], [-46.562454, -23.531586999], [-46.5626389999999, -23.531125], [-46.562111, -23.530915], [-46.562061, -23.530902], [-46.561956, -23.5308929999999], [-46.56188, -23.530888], [-46.561642961, -23.531528464], [-46.561373803, -23.5322509009999]]]"
"355030880000284","1","Área Urbana de Alta Densidade de Edificações","35","São Paulo","SP","3550308","São Paulo","355030880","Tatuapé","35503088000","Polygon","[[[-46.556829975, -23.5251013829999], [-46.557050722, -23.5250304319999], [-46.557229, -23.524954], [-46.557334, -23.524905], [-46.557502, -23.524864], [-46.55769, -23.52483], [-46.5588543539999, -23.524630939], [-46.560282, -23.524378], [-46.5601066249999, -23.52513622], [-46.560898713, -23.525150832], [-46.561227, -23.5244049999999], [-46.561329, -23.5244569989999], [-46.561457, -23.5245279989999], [-46.561569, -23.524606999], [-46.561707031, -23.524722443], [-46.562445, -23.525316999], [-46.56327, -23.525996999], [-46.563887, -23.5265069989999], [-46.564543135, -23.527024039], [-46.564685606, -23.527103471], [-46.56479, -23.527149], [-46.564976, -23.527193], [-46.565639, -23.527314], [-46.566117, -23.527407], [-46.566231, -23.52743], [-46.5663259999999, -23.5274299989999], [-46.566437, -23.5274309989999], [-46.566715, -23.5274509989999], [-46.568207, -23.527570999], [-46.568294, -23.527578999], [-46.5686929999999, -23.5276089989999], [-46.568974, -23.527623999], [-46.569129, -23.527617999], [-46.569284, -23.527602999], [-46.569409, -23.5275859989999], [-46.56942, -23.5275839989999], [-46.569869, -23.527488999], [-46.570637, -23.5273359989999], [-46.570782, -23.526735999], [-46.5708809459999, -23.5262792469999], [-46.570705, -23.526244999], [-46.570346, -23.526156999], [-46.569497, -23.525909999], [-46.569269, -23.525834999], [-46.569071, -23.525753999], [-46.568726, -23.525614999], [-46.568431, -23.5254669989999], [-46.568264, -23.5253778859999], [-46.567955, -23.525212999], [-46.566571, -23.5244579989999], [-46.56568, -23.523991999], [-46.5655599999999, -23.5239349989999], [-46.565387, -23.523858999], [-46.565149, -23.523774999], [-46.564956, -23.5237179989999], [-46.564523, -23.523607999], [-46.564051, -23.523500999], [-46.563684, -23.523437999], [-46.563384, -23.5234029989999], [-46.563004, -23.523381999], [-46.562396, -23.5233789989999], [-46.561709, -23.523410999], [-46.560548, -23.523453999], [-46.560303206, -23.5234586179999], [-46.560177, -23.523460999], [-46.560032, -23.523453999], [-46.5599, -23.5234409989999], [-46.559737, -23.523415999], [-46.559483008, -23.5233749499999], [-46.55944, -23.523367999], [-46.559108, -23.5232889989999], [-46.5588119999999, -23.523202999], [-46.558472, -23.5230649989999], [-46.5582259999999, -23.522931999], [-46.5580229999999, -23.5232369989999], [-46.557799, -23.523570999], [-46.557676, -23.523764999], [-46.557536, -23.5240089989999], [-46.557385, -23.524287999], [-46.557272, -23.524493999], [-46.557172, -23.524645999], [-46.55698, -23.524916999], [-46.556829975, -23.5251013829999]]]"
"355030880000278","1","Área Urbana de Alta Densidade de Edificações","35","São Paulo","SP","3550308","São Paulo","355030880","Tatuapé","35503088000","Polygon","[[[-46.570031, -23.540767999], [-46.57060151, -23.540880451], [-46.5704959999999, -23.541358999], [-46.57052, -23.5413909989999], [-46.570904, -23.541461999], [-46.570767276, -23.5420741369999], [-46.570633, -23.542662999], [-46.570691928, -23.5426742189999], [-46.57161, -23.5428489989999], [-46.571989996, -23.541157992], [-46.571447978, -23.5410534449999], [-46.571559227, -23.540560516], [-46.571261051, -23.540501456], [-46.571203687, -23.540489216], [-46.571135058, -23.5404789999999], [-46.5713524669999, -23.5395686319999], [-46.571367424, -23.539482828], [-46.571397077, -23.5393149999999], [-46.571445113, -23.5390161459999], [-46.570466, -23.5388459989999], [-46.570395, -23.539128999], [-46.570363, -23.539298999], [-46.570031, -23.540767999]]]"
"355030880000279","2","Área Urbana de Baixa Densidade de Edificações","35","São Paulo","SP","3550308","São Paulo","355030880","Tatuapé","35503088000","Polygon","[[[-46.571731, -23.526385999], [-46.57149, -23.526364999], [-46.571116, -23.5263249989999], [-46.5708809459999, -23.5262792469999], [-46.570782, -23.526735999], [-46.570637, -23.5273359989999], [-46.570755703, -23.527315201], [-46.570212, -23.5290729989999], [-46.571013, -23.529267999], [-46.5710349029999, -23.529295315], [-46.571038, -23.529331999], [-46.570613, -23.5308029999999], [-46.571133, -23.53093], [-46.5712290009999, -23.5310368749999], [-46.5716864949999, -23.531149435], [-46.5722556339999, -23.531281152], [-46.572526921, -23.531373318], [-46.5727577979999, -23.5315338729999], [-46.572927922, -23.5317129809999], [-46.5730850969999, -23.5319329129999], [-46.573180453, -23.532136489], [-46.5733258819999, -23.532099999], [-46.5733098819999, -23.53122623], [-46.573380863, -23.529860781], [-46.574337219, -23.529850532], [-46.5747117239999, -23.529851043], [-46.575646, -23.529847], [-46.575674, -23.528750999], [-46.575764395, -23.526812337], [-46.5757555829999, -23.5265990309999], [-46.575736999, -23.526149125], [-46.5756749999999, -23.5261469989999], [-46.575136, -23.5261419989999], [-46.574815, -23.526151999], [-46.574478, -23.526177999], [-46.573971, -23.5262319989999], [-46.572954, -23.526352999], [-46.572696, -23.526378999], [-46.572527, -23.5263929989999], [-46.5723599999999, -23.526399999], [-46.572053, -23.526403999], [-46.571731, -23.526385999]]]"
"355030880000280","1","Área Urbana de Alta Densidade de Edificações","35","São Paulo","SP","3550308","São Paulo","355030880","Tatuapé","35503088000","Polygon","[[[-46.578225409, -23.539776934], [-46.578255, -23.540212], [-46.578276, -23.5404879989999], [-46.579125698, -23.54062332], [-46.579100333, -23.5403758219999], [-46.579035238, -23.539749969], [-46.578225409, -23.539776934]]]"
"355030880000281","1","Área Urbana de Alta Densidade de Edificações","35","São Paulo","SP","3550308","São Paulo","355030880","Tatuapé","35503088000","Polygon","[[[-46.5743896069999, -23.551991917], [-46.5747670649999, -23.550539536], [-46.574426, -23.550469], [-46.574237, -23.550431999], [-46.574173, -23.5504199989999], [-46.5736929999999, -23.5503269989999], [-46.573606, -23.550309999], [-46.573166, -23.550221999], [-46.5729959999999, -23.550947999], [-46.5728319999999, -23.551670999], [-46.5743896069999, -23.551991917]]]"
