"cd_setor","area_km2","cd_regiao","nm_regiao","cd_uf","nm_uf","cd_mun","nm_mun","cd_dist","nm_dist","cd_subdist","nm_subdist","cd_micro","nm_micro","cd_meso","nm_meso","cd_rgi","nm_rgi","cd_rgint","nm_rgint","cd_concurb","nm_concurb","qt_total_pessoas","qt_total_dmcls","qt_dmcls_prtclrs","qt_dmcls_cltvs","md_mrd_dmcls_prtclr_ocup","nm_perc_dmcls_prtclr_ocup_imputs","qt_total_dmcls_prtclr_ocup"
"160030305000304P","0.196522","1","Norte","16","Amapá","1600303","Macapá","160030305","Macapá","16003030500","Subdistrito sem denominação","16003","Macapá","1602","Sul do Amapá","160001","Macapá","1601","Macapá","1600303","Macapá/AP","559","208","206","2","3.270.588","4.705.882","170"
"160005505000007P","1.938.383","1","Norte","16","Amapá","1600055","Serra do Navio","160005505","Serra do Navio","16000550500","Subdistrito sem denominação","16003","Macapá","1602","Sul do Amapá","160004","Porto Grande","1602","Oiapoque - Porto Grande",,,"282","90","90","0","3.569.620","1.265.823","79"
"160050105000013P","0.244706","1","Norte","16","Amapá","1600501","Oiapoque","160050105","Oiapoque","16005010500","Subdistrito sem denominação","16001","Oiapoque","1601","Norte do Amapá","160003","Oiapoque","1602","Oiapoque - Porto Grande",,,"84","15","15","0","6.461.538","0.000000","13"
"160030305000542P","0.363209","1","Norte","16","Amapá","1600303","Macapá","160030305","Macapá","16003030500","Subdistrito sem denominação","16003","Macapá","1602","Sul do Amapá","160001","Macapá","1601","Macapá","1600303","Macapá/AP","347","111","111","0","3.731.183","6.451.613","93"
"160030305000677P","0.094135","1","Norte","16","Amapá","1600303","Macapá","160030305","Macapá","16003030500","Subdistrito sem denominação","16003","Macapá","1602","Sul do Amapá","160001","Macapá","1601","Macapá","1600303","Macapá/AP","352","112","112","0","3.666.667","4.166.667","96"
"160030305000773P","0.507884","1","Norte","16","Amapá","1600303","Macapá","160030305","Macapá","16003030500","Subdistrito sem denominação","16003","Macapá","1602","Sul do Amapá","160001","Macapá","1601","Macapá","1600303","Macapá/AP","680","221","221","0","3.617.021","1.063.830","188"
"160030305000377P","0.040825","1","Norte","16","Amapá","1600303","Macapá","160030305","Macapá","16003030500","Subdistrito sem denominação","16003","Macapá","1602","Sul do Amapá","160001","Macapá","1601","Macapá","1600303","Macapá/AP","946","255","255","0","3.941.667","2.083.333","240"
"160030310000005P","747.392.294","1","Norte","16","Amapá","1600303","Macapá","160030310","Bailique","16003031000","Subdistrito sem denominação","16003","Macapá","1602","Sul do Amapá","160001","Macapá","1601","Macapá","1600303","Macapá/AP","975","263","262","1","4.352.679","0.000000","224"
"160060005000026P","0.080202","1","Norte","16","Amapá","1600600","Santana","160060005","Santana","16006000500","Subdistrito sem denominação","16003","Macapá","1602","Sul do Amapá","160001","Macapá","1601","Macapá","1600303","Macapá/AP","1073","295","295","0","4.049.057","0.377358","265"
"160030305000249P","0.030997","1","Norte","16","Amapá","1600303","Macapá","160030305","Macapá","16003030500","Subdistrito sem denominação","16003","Macapá","1602","Sul do Amapá","160001","Macapá","1601","Macapá","1600303","Macapá/AP","326","123","123","0","3.134.615","2.884.615","104"
